Order list for C:/Users/laur2/Documents/EAGLE/projects/Home_Project/FOB.sch
Exported from EAGLE with DesignLink

Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
3	1nF	C0805	1414038	KEMET	C0805X102K5RACTU	7630	0.0662	KEMET - C0805X102K5RACTU - SMD Multilayer Ceramic Capacitor, FT-CAP, 1000 pF, 50 V, 0805 [2012 Metric], ± 10%, X7R
2	2nF	C0805	2678335	KEMET	C0805C202K5RACTU	5710	0.0345	KEMET - C0805C202K5RACTU - CAP, MLCC, X7R, 2000PF, 50V, 0805
2	330pF	C0805	1650874	KEMET	C0805C331J1GACTU	35	0.028	KEMET - C0805C331J1GACTU - SMD Multilayer Ceramic Capacitor, 330 pF, 100 V, 0805 [2012 Metric], ± 5%, C0G / NP0
1	270pF	C0805	1414684	KEMET	C0805C271J5GACTU	224	0.054	KEMET - C0805C271J5GACTU - SMD Multilayer Ceramic Capacitor, 270 pF, 50 V, 0805 [2012 Metric], ± 5%, C0G / NP0
1	68pF	C0805	1414698	KEMET	C0805C680J5GACTU	4350	0.023	KEMET - C0805C680J5GACTU - SMD Multilayer Ceramic Capacitor, 68 pF, 50 V, 0805 [2012 Metric], ± 5%, C0G / NP0
3	UA741P	DIL08	1094414	STMICROELECTRONICS	UA741CN	0	0.11	STMICROELECTRONICS - UA741CN - Operational Amplifier, Single, 1 Amplifier, 1 MHz, 0.5 V/µs, 5V to 40V, DIP, 8 Pins
1	AD5282	TSSOP16	unknown	ALTERA CORPORATION	AD5282BRUZ50			
1	Vin	1X2MTA	964827	AMP - TE CONNECTIVITY	180924	25436	0.157	AMP - TE CONNECTIVITY - 180924 - Connector Housing, 2 Way, FASTIN FASTON, Receptacle, 2 Ways, 6.35 mm
1	Out	1X2MTA	964827	AMP - TE CONNECTIVITY	180924	25436	0.157	AMP - TE CONNECTIVITY - 180924 - Connector Housing, 2 Way, FASTIN FASTON, Receptacle, 2 Ways, 6.35 mm
2	CON3	1X3MTA	1717036	CAMDENBOSS	CTB9358/3	2190	0.394	CAMDENBOSS - CTB9358/3 - Pluggable Terminal Block, Header, 5.08 mm, 3 Ways, 12 A
4	47k	R0805	3496741	YAGEO	RT0805BRD0747KL	1830	0.04	YAGEO - RT0805BRD0747KL - SMD Chip Resistor, 47 kohm, ± 0.1%, 125 mW, 0805 [2012 Metric], Thin Film, Precision
3	15k	R0805	3496722	YAGEO	RT0805BRD0715KL	540	0.04	YAGEO - RT0805BRD0715KL - SMD Chip Resistor, 15 kohm, ± 0.1%, 125 mW, 0805 [2012 Metric], Thin Film, Precision
3	1k	R0805	9237496	YAGEO	RC0805FR-071KL	221087	0.0049	YAGEO - RC0805FR-071KL - SMD Chip Resistor, 1 kohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose
1	68k	R0805	1469953	VISHAY	CRCW080568K0FKEA	10759	0.01	VISHAY - CRCW080568K0FKEA - SMD Chip Resistor, 68 kohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose
1	22k	R0805	3496730	YAGEO	RT0805BRD0722KL	138	0.043	YAGEO - RT0805BRD0722KL - SMD Chip Resistor, 22 kohm, ± 0.1%, 125 mW, 0805 [2012 Metric], Thin Film, Precision
3	100k	R0805	1652905	VISHAY	CRCW0805100KFKTA	52656	0.018	VISHAY - CRCW0805100KFKTA - SMD Chip Resistor, 100 kohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose
3	33k	R0805	9237810	YAGEO	RC0805FR-0733KL	2808	0.005	YAGEO - RC0805FR-0733KL - SMD Chip Resistor, 33 kohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose
1	330k	R0805	1577692	PANASONIC	ERA6AEB334V	5000	0.0374	PANASONIC - ERA6AEB334V - SMD Chip Resistor, 330 kohm, ± 0.1%, 125 mW, 0805 [2012 Metric], Metal Film (Thin Film)
1	1.5k	R0805	1688494	PANASONIC	ERA6ARW152V	4473	0.242	PANASONIC - ERA6ARW152V - SMD Chip Resistor, 1.5 kohm, ± 0.05%, 125 mW, 0805 [2012 Metric], Metal Film (Thin Film)
1	3.3k	R0805	3496737	YAGEO	RT0805BRD073K3L	5759	0.04	YAGEO - RT0805BRD073K3L - SMD Chip Resistor, 3.3 kohm, ± 0.1%, 125 mW, 0805 [2012 Metric], Thin Film, Precision
